(3.0,[2,3,12669,9656,7561,214,2674,1338])
(3.0,[2,3,7057,9810,9568,1762,3293,1776])
(3.0,[2,3,6353,8808,7684,2405,3516,7844])
(2.0,[1,3,13265,1196,4221,6404,507,1788])
(0.0,[2,3,22615,5410,7198,3915,1777,5185])
(2.0,[2,3,9413,8259,5126,666,1795,1451])
(2.0,[2,3,12126,3199,6975,480,3140,545])
(3.0,[2,3,7579,4956,9426,1669,3321,2566])
(2.0,[1,3,5963,3648,6192,425,1716,750])
(5.0,[2,3,6006,11093,18881,1159,7425,2098])
(3.0,[2,3,3366,5403,12974,4400,5977,1744])
(2.0,[2,3,13146,1124,4523,1420,549,497])
(0.0,[2,3,31714,12319,11757,287,3881,2931])
(0.0,[2,3,21217,6208,14982,3095,6707,602])
(0.0,[2,3,24653,9465,12091,294,5058,2168])
(2.0,[1,3,10253,1114,3821,397,964,412])
(3.0,[2,3,1020,8816,12121,134,4508,1080])
(2.0,[1,3,5876,6157,2933,839,370,4478])
(0.0,[2,3,18601,6327,10099,2205,2767,3181])
(3.0,[1,3,7780,2495,9464,669,2518,501]))
